Barcode,Entry,Species_consensus,Accession_#,USDA_Q_#,Alt_accession_#,UIUC_ID,project,project_id
Miscanthus sacchariflorus  'RU2012-069'-Accn:RU2012-069-Q47678-Alt:,Miscanthus sacchariflorus  'RU2012-069',Miscanthus sacchariflorus,RU2012-069,Q47678,,UI19-00137,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-069'-Accn:RU2012-069-Q47678-Alt:,Miscanthus sacchariflorus  'RU2012-069',Miscanthus sacchariflorus,RU2012-069,Q47678,,UI19-00137,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-112'-Accn:RU2012-112-Q47715-Alt:,Miscanthus sacchariflorus  'RU2012-112',Miscanthus sacchariflorus,RU2012-112,Q47715,,UI19-00174,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-112'-Accn:RU2012-112-Q47715-Alt:,Miscanthus sacchariflorus  'RU2012-112',Miscanthus sacchariflorus,RU2012-112,Q47715,,UI19-00174,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-112'-Accn:RU2012-112-Q47715-Alt:,Miscanthus sacchariflorus  'RU2012-112',Miscanthus sacchariflorus,RU2012-112,Q47715,,UI19-00174,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-112'-Accn:RU2012-112-Q47715-Alt:,Miscanthus sacchariflorus  'RU2012-112',Miscanthus sacchariflorus,RU2012-112,Q47715,,UI19-00174,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-112'-Accn:RU2012-112-Q47715-Alt:,Miscanthus sacchariflorus  'RU2012-112',Miscanthus sacchariflorus,RU2012-112,Q47715,,UI19-00174,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-112'-Accn:RU2012-112-Q47715-Alt:,Miscanthus sacchariflorus  'RU2012-112',Miscanthus sacchariflorus,RU2012-112,Q47715,,UI19-00174,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-114'-Accn:RU2012-114-Q47717-Alt:,Miscanthus sacchariflorus  'RU2012-114',Miscanthus sacchariflorus,RU2012-114,Q47717,,UI19-00176,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-114'-Accn:RU2012-114-Q47717-Alt:,Miscanthus sacchariflorus  'RU2012-114',Miscanthus sacchariflorus,RU2012-114,Q47717,,UI19-00176,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-114'-Accn:RU2012-114-Q47717-Alt:,Miscanthus sacchariflorus  'RU2012-114',Miscanthus sacchariflorus,RU2012-114,Q47717,,UI19-00176,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-114'-Accn:RU2012-114-Q47717-Alt:,Miscanthus sacchariflorus  'RU2012-114',Miscanthus sacchariflorus,RU2012-114,Q47717,,UI19-00176,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-114'-Accn:RU2012-114-Q47717-Alt:,Miscanthus sacchariflorus  'RU2012-114',Miscanthus sacchariflorus,RU2012-114,Q47717,,UI19-00176,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-114'-Accn:RU2012-114-Q47717-Alt:,Miscanthus sacchariflorus  'RU2012-114',Miscanthus sacchariflorus,RU2012-114,Q47717,,UI19-00176,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-174'-Accn:RU2012-174-Q47765-Alt:,Miscanthus sacchariflorus  'RU2012-174',Miscanthus sacchariflorus,RU2012-174,Q47765,,UI19-00223,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-174'-Accn:RU2012-174-Q47765-Alt:,Miscanthus sacchariflorus  'RU2012-174',Miscanthus sacchariflorus,RU2012-174,Q47765,,UI19-00223,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-174'-Accn:RU2012-174-Q47765-Alt:,Miscanthus sacchariflorus  'RU2012-174',Miscanthus sacchariflorus,RU2012-174,Q47765,,UI19-00223,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-174'-Accn:RU2012-174-Q47765-Alt:,Miscanthus sacchariflorus  'RU2012-174',Miscanthus sacchariflorus,RU2012-174,Q47765,,UI19-00223,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-174'-Accn:RU2012-174-Q47765-Alt:,Miscanthus sacchariflorus  'RU2012-174',Miscanthus sacchariflorus,RU2012-174,Q47765,,UI19-00223,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'RU2012-174'-Accn:RU2012-174-Q47765-Alt:,Miscanthus sacchariflorus  'RU2012-174',Miscanthus sacchariflorus,RU2012-174,Q47765,,UI19-00223,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'Robustus-Bluemel'-Accn:UI10-00009--Alt:,Miscanthus sacchariflorus  'Robustus-Bluemel',Miscanthus sacchariflorus,UI10-00009,,,UI19-00096,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'Robustus-Bluemel'-Accn:UI10-00009--Alt:,Miscanthus sacchariflorus  'Robustus-Bluemel',Miscanthus sacchariflorus,UI10-00009,,,UI19-00096,mxg_genotype_exudates,MXG_GENEX
Miscanthus sacchariflorus  'Robustus-Bluemel'-Accn:UI10-00009--Alt:,Miscanthus sacchariflorus  'Robustus-Bluemel',Miscanthus sacchariflorus,UI10-00009,,,UI19-00096,mxg_genotype_exudates,MXG_GENEX
